TID,Mental Space,Task tower,Atomic task,ID,Type,CleanType,Quote,Quote 2,Quote 3,Quote 4
394,Align dependencies & 3rd parties,3rd party maintenance,Know which products to whitelist for a release,AH,RCM*PM,PM,"[00:36:34] If a package is not on the white list for the base tag in the build system brew, then when a developer tries to build it that product, at the end of the build, even if the build succeeds, it will fail because the build wasn't allowed in the in the product. The only people who know which builds should be allowed in the product are the RHEL engineering. But the only people with permission to whitelist packages are RCM. They're the experts, and they already use all the tools except that one tool will not allow them to run this one command because the permission. And RCM has the permission.",,,
487,Align dependencies & 3rd parties,Align 3rd parties,"""Click the button"" in PNC build system, auto aligns",PG,PE,PE,[00:09:00] we use a PNC for building internally - a new new build process build environment. So that uses a method of auto alignment... Click click the Go button.,,,
481,Align dependencies & 3rd parties,Align 3rd parties,Align version of 3rd party dependency to productized version,PG,PE,PE,"[00:06:58] I have to take JRPC Java, build it internally ... and align the version that is used in vertex module to the one that I've just built that they've changed.",,,
486,Align dependencies & 3rd parties,Align 3rd parties,Analyse alignment results from build system,PG,PE,PE,[00:08:43] I'll then analyze the alignment results from that build within one of the authorized build systems. ,,,
548,Align dependencies & 3rd parties,Align 3rd parties,Find out changes from third party,PG,PE,PE,[00:54:15] One of my other engineers might find out and could you know relay it back. ,,,
489,Align dependencies & 3rd parties,Align 3rd parties,Look at list of what is not aligned to a RH build,PG,PE,PE,"[00:09:46] that, I've wrote a few extra analyzing tool that goes over the build log and sees what's not being aligned to a Red Hat build and therefore can give us a list of these these things have not come out as Red Hat builds",,,
512,Align dependencies & 3rd parties,Align 3rd parties,Search logs for alignment of 3rd parties,PG,PE,PE,[00:29:06] You can also search the logs to see if alignment has happened that you expected it to,,,
527,Align dependencies & 3rd parties,Align 3rd parties,Share versions of 3rd party libraries with other products,PG,PE,PE,[00:40:32] one of the rules of productization is to share versions as much as possible. ,,,
599,Align dependencies & 3rd parties,Align products,Ensure that the product works with other products,MM,PM,PM,Making sure that you work really well with other products. ,,,
585,Align dependencies & 3rd parties,Align products,Figure out what cross product dependencies there are,VR,PM*ProgramMgr,PM,the program managers have created a cross product dependency document which is a spreadsheet.,,,
586,Align dependencies & 3rd parties,Align products,Reference cross product dependency documentation,VR,PM,PM,the program managers have created a cross product dependency document which is a spreadsheet.,,,
428,Align dependencies & 3rd parties,Dependencies,Add module to runtime dependency tree,AS,PE ,PE ,"[00:17:29] What might happen is there might be some new module on upstream which is not part of the runtime the dependency tree, but they want but in the maven repository so we have to go in and manually add that.",,,
432,Align dependencies & 3rd parties,Dependencies,Align dependencies across products before productization,AS,PE*UD,UD,[00:20:25] there are some requirements to align the dependencies across the all or some products like EAP and some other. So this is usually done at the upstream at sort of to have the same versions but sometimes done only in productization phase. ,,,
431,Align dependencies & 3rd parties,Dependencies,Align dependencies across products that upstream did not do,AS,PE,PE,[00:20:25] there are some requirements to align the dependencies across the all or some products like EAP and some other. So this is usually done at the upstream at sort of to have the same versions but sometimes done only in productization phase. ,,,
433,Align dependencies & 3rd parties,Dependencies,Analyse what dependencies are needed,AS,PE,PE,[00:21:11] You will get that requirement you need to analyse what needs to be done. I mean what type or what sort of dependencies.,,,
430,Align dependencies & 3rd parties,Dependencies,Use dependencies from EAP,AS,PE,PE,[00:20:10] We actually try use a lot of dependencies from EAP but that's not always possible. ,,,
482,Align dependencies & 3rd parties,Set up 3rd party,Build 3rd parties through authorized tooling,PG,PE,PE,[00:07:27] A lot of the third parties literally could take just an hour or two and just physically how long it takes to sync them up internally and the repos and build them through the authorized tooling. ,"[00:19:06] the GUI for setting up individual third party builds is very useful,",,
530,Align dependencies & 3rd parties,Set up 3rd party,Build 3rd party library from source,PG,PE,PE,[00:44:16] yeah. I build Netty from source quite a bit actually.,,,
545,Align dependencies & 3rd parties,Set up 3rd party,Build many modules as part of a larger 3rd party build,PG,PE,PE,[00:52:34] and then you've got to go away and build Jackson core which is more than just build on one thing you've got build about five Jackson modules to get it done... ,,,
480,Align dependencies & 3rd parties,Set up 3rd party,Build new versions of 3rd party packages internally,PG,PE,PE,"[00:06:58] I have to take JRPC Java, build it internally ... and align the version that is used in vertex module to the one that I've just built that they've changed.",,,
418,Align dependencies & 3rd parties,Set up 3rd party,Tag 3rd party artifacts,AS,PE,PE,"[00:11:05] the artifact might be a red hat version and it might not exist in our in our tag, which is like a repository. It may not exist there so then we have to go and tag that across into our build structure. ",,,
532,Align dependencies & 3rd parties,Set up 3rd party,Test 3rd party libraries,PG,PE,PE, [00:45:29] it will already been tested to a level we deem acceptable.,,,
490,Align dependencies & 3rd parties,Troubleshoot 3rd party,Determine if a new RH build is needed,PG,PE,PE," [00:10:04] I have to go away and figure out, do I need to build them as a red hat build... Or can I downgrade or upgrade the version that's currently in the vertex source to match another Red Hat build that might be even at a higher version or a lower version",,,
491,Align dependencies & 3rd parties,Troubleshoot 3rd party,Determine if can upgrade/downgrade versions,PG,PE,PE, [00:10:04] Or can I downgrade or upgrade the version that's currently in the vertex source to match another Red Hat build that might be even at a higher version or a lower version,,,
533,Align dependencies & 3rd parties,Troubleshoot 3rd party,Patch release 3rd parties for CVEs,PG,PE,PE,"[00:46:28] When a CVE comes in place, we then are the ones who have to build a patch release now for that CVE? Possibly yes because we'd be the ones who used that version but it might be that we decide just to move to a completely separate version for everybody else. ",,,
484,Align dependencies & 3rd parties,Upgrade 3rd party libraries,Upgrade 3rd party lib versions in community,PG,PE*UD,UD, [00:08:16] They should always be moving forward with new versions. ,,,
479,Align dependencies & 3rd parties,Upgrade 3rd party libraries,Upgrade version of 3rd party package,PG,PE*UD,UD, [00:06:07] To an upstream engineer may be dead easy just to I'll up this version of JRPC (?) Java.,,,
361,Approvals and sign-offs,Release hold-offs,Decline to release due to lack of ability,RH,RCM,RCM,"I want to say I can't release on like a smart status ground like, lack of ability rather than policy. ",,,
