TID,Mental Space,Task tower,Atomic task,ID,Type,Quote,Quote 2,Quote 3,Quote 4
548,Space 1,Align 3rd parties,Find out changes from third party,PG,PE,[00:54:15] One of my other engineers might find out and could you know relay it back. ,,,
481,Space 1,Align 3rd parties,Align version of 3rd party dependency to productized version,PG,PE,"[00:06:58] I have to take JRPC Java, build it internally ... and align the version that is used in vertex module to the one that I've just built that they've changed.",,,
527,Space 1,Align 3rd parties,Share versions of 3rd party libraries with other products,PG,PE,[00:40:32] one of the rules of productization is to share versions as much as possible. ,,,
512,Space 1,Align 3rd parties,Search logs for alignment of 3rd parties,PG,PE,[00:29:06] You can also search the logs to see if alignment has happened that you expected it to,,,
487,Space 1,Align 3rd parties,"""Click the button"" in PNC build system, auto aligns",PG,PE,[00:09:00] we use a PNC for building internally - a new new build process build environment. So that uses a method of auto alignment... Click click the Go button.,,,
486,Space 1,Align 3rd parties,Analyse alignment results from build system,PG,PE,[00:08:43] I'll then analyze the alignment results from that build within one of the authorized build systems. ,,,
489,Space 1,Align 3rd parties,Look at list of what is not aligned to a RH build,PG,PE,"[00:09:46] that, I've wrote a few extra analyzing tool that goes over the build log and sees what's not being aligned to a Red Hat build and therefore can give us a list of these these things have not come out as Red Hat builds",,,
432,Space 1,Align 3rd parties,Align dependencies across products,AS,PE*UD,[00:20:25] there are some requirements to align the dependencies across the all or some products like EAP and some other. So this is usually done at the upstream at sort of to have the same versions but sometimes done only in productization phase. ,,,
585,Space 1,Align products,Figure out what cross product dependencies there are,VR,PM*ProgramMgr,the program managers have created a cross product dependency document which is a spreadsheet.,,,
586,Space 1,Align products,Reference cross product dependency documentation,VR,PM,the program managers have created a cross product dependency document which is a spreadsheet.,,,
599,Space 1,Align products,Ensure that the product works with other products,MM,PM,Making sure that you work really well with other products. ,,,
523,Space 1,Analyze build failures,Analyse why something did not build,PG,PE,"[00:35:43] I should be spending more time analyzing why it didn't build, not trying to figure out which one didn't,",,,
522,Space 1,Analyze build failures,Drill down into builds to figure out root cause of failure,PG,PE,[00:35:14] when you've got when you've got 40 builds and you've got a click through four pages of them - because it only shows ten per page - you've got you've got to work out yourself by clicking on each to see if it's a dependent failure in the build log,,,
521,Space 1,Analyze build failures,Distinguish between different types of build failures,PG,PE,[00:34:10] I need to distinguish between a real failure in the build or failure because one of the independent builds failed.,,,
520,Space 1,Analyze build failures,Determine what part of the build failed,PG,PE,the main use of the GUI to me is actually to work out what has failed.,,,
163,Space 2,Answer questions from product teams,Answer questions about possible CVEs,RH,RCM,"[00:23:07] there's this there's this secret thing that I can't tell you about that's going to be coming soon that we're going to have to do crazy amount of container releases for... It just a big wink wink that a CVE is coming. I don't know. Those sort of like, responding to, you know, how ready are we? And are we going to need resources for that? Sort of thing.",,,
